Success,5.6150289
Success,6.9604273
Success,4.0127398
Success,4.8655432
Success,10.7170522
Success,4.9790696
Success,4.9780806
Success,5.184826
Success,3.9837629
Success,5.1448627
KeyFailure,0.5176424
Success,5.6915879
Success,3.5392626
Success,3.3830083
Success,3.450488
Success,4.7642519
KeyFailure,0.4972143
Success,5.0821894
Success,3.4900545
Success,4.1855195
Success,3.4782445
Success,4.1469518
Success,4.1512612
Success,3.5334527
Success,6.2598953
KeyFailure,0.4947843
Success,5.6720008
Success,4.4163413
Success,5.2381558
Success,6.0103027
Success,4.052478
Success,10.2529406
Success,4.6264965
Success,3.4794819
Success,6.2232065
Success,4.3160694
Success,3.3436074
PowerReset,0.767453
Success,4.9741013
Success,4.231709
Success,4.4886717
Success,3.9107026
Success,3.2385049
PowerReset,1.0530604
Success,4.1735322
Success,4.1969547
Success,7.2065819
Success,4.7701024
Success,4.2001146
Success,4.1701826
Success,4.934341
Success,6.9611393
Success,6.3404866
Success,6.2276793
Success,3.4468819
Success,4.1692264
Success,4.2120983
Success,5.0193383
KeyFailure,0.4550081
Success,5.4643851
Success,4.9191116
Success,4.989763
KeyFailure,0.5057826
Success,4.6690882
Success,5.2362322
Success,5.1007715
Success,4.1124278
Success,4.1988382
Success,5.6572422
Success,4.6700099
Success,5.1954125
Success,4.4173355
Success,3.4099932
Success,4.5247348
Success,3.6186026
Success,3.3623247
Success,3.9409112
Success,4.5164611
Success,3.8884316
KeyFailure,0.5093105
Success,4.1058874
Success,4.0781623
Success,4.7770483
Success,3.9401514
Success,3.5987369
Success,4.2566243
Success,3.8942461
Success,4.1564855
Success,4.7876934
Success,4.0084911
Success,3.3840118
Success,3.7835913
Success,4.4309811
Success,4.0419542
Success,4.1064462
Success,4.0111313
Success,4.2823688
Success,3.9441184
Success,4.4651438
Success,3.6245235
